file,basename,sample,species,subject,animal_id,tissue,tissue_code,replicate,egg_production,read_pair
RH2_4_R2_001.fastq.gz,RH2_4_R2_001,RH2_uterus_rep1,chicken,RH2,2,uterus,4,1,high,2
RH307_1_R1_001.fastq.gz,RH307_1_R1_001,RH307_ovary_rep1,chicken,RH307,307,ovary,1,1,low,1
RH315_1_R2_001.fastq.gz,RH315_1_R2_001,RH315_ovary_rep1,chicken,RH315,315,ovary,1,1,low,2
RH4_2_R1_001.fastq.gz,RH4_2_R1_001,RH4_ovary_rep2,chicken,RH4,4,ovary,2,2,high,1
RH303_1_R1_001.fastq.gz,RH303_1_R1_001,RH303_ovary_rep1,chicken,RH303,303,ovary,1,1,low,1
RH307_1_R2_001.fastq.gz,RH307_1_R2_001,RH307_ovary_rep1,chicken,RH307,307,ovary,1,1,low,2
RH315_2_R1_001.fastq.gz,RH315_2_R1_001,RH315_ovary_rep2,chicken,RH315,315,ovary,2,2,low,1
RH4_2_R2_001.fastq.gz,RH4_2_R2_001,RH4_ovary_rep2,chicken,RH4,4,ovary,2,2,high,2
RH1_1_R1_001.fastq.gz,RH1_1_R1_001,RH1_ovary_rep1,chicken,RH1,1,ovary,1,1,high,1
RH303_1_R2_001.fastq.gz,RH303_1_R2_001,RH303_ovary_rep1,chicken,RH303,303,ovary,1,1,low,2
RH307_2_R1_001.fastq.gz,RH307_2_R1_001,RH307_ovary_rep2,chicken,RH307,307,ovary,2,2,low,1
RH315_2_R2_001.fastq.gz,RH315_2_R2_001,RH315_ovary_rep2,chicken,RH315,315,ovary,2,2,low,2
RH4_4_R1_001.fastq.gz,RH4_4_R1_001,RH4_uterus_rep1,chicken,RH4,4,uterus,4,1,high,1
RH1_1_R2_001.fastq.gz,RH1_1_R2_001,RH1_ovary_rep1,chicken,RH1,1,ovary,1,1,high,2
RH303_2_R1_001.fastq.gz,RH303_2_R1_001,RH303_ovary_rep2,chicken,RH303,303,ovary,2,2,low,1
RH307_2_R2_001.fastq.gz,RH307_2_R2_001,RH307_ovary_rep2,chicken,RH307,307,ovary,2,2,low,2
RH315_4_R1_001.fastq.gz,RH315_4_R1_001,RH315_uterus_rep1,chicken,RH315,315,uterus,4,1,low,1
RH4_4_R2_001.fastq.gz,RH4_4_R2_001,RH4_uterus_rep1,chicken,RH4,4,uterus,4,1,high,2
RH1_2_R1_001.fastq.gz,RH1_2_R1_001,RH1_ovary_rep2,chicken,RH1,1,ovary,2,2,high,1
RH303_2_R2_001.fastq.gz,RH303_2_R2_001,RH303_ovary_rep2,chicken,RH303,303,ovary,2,2,low,2
